command to create set : rwsetbuild testIpList.txt testiplist.set
command : rwfilter --start-date=2016/02/15 --end-date=2016/02/29 --anyset=testiplist.set --type=all --pass=stdout | rwcut > ans5.txt


            sIP|            dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sen|
   172.30.13.17|    224.0.0.252|55893| 5355| 17|         2|       100|        |2016/02/17T06:51:56.781|    0.103|2016/02/17T06:51:56.884| S0|
   172.30.13.17|    224.0.0.252|56653| 5355| 17|         2|       100|        |2016/02/17T06:51:59.415|    0.106|2016/02/17T06:51:59.521| S0|
   172.30.13.17|    224.0.0.252|56463| 5355| 17|         2|       100|        |2016/02/17T06:52:01.771|    0.105|2016/02/17T06:52:01.876| S0|
   172.30.13.17|    224.0.0.252|62576| 5355| 17|         2|       100|        |2016/02/17T06:52:04.384|    0.097|2016/02/17T06:52:04.481| S0|
   172.30.13.17|    224.0.0.252|63108| 5355| 17|         2|       100|        |2016/02/17T06:52:28.290|    0.109|2016/02/17T06:52:28.399| S0|
   172.30.13.17|    224.0.0.252|51389| 5355| 17|         2|       100|        |2016/02/17T06:52:51.940|    0.109|2016/02/17T06:52:52.049| S0|
   172.30.13.17|    224.0.0.252|60784| 5355| 17|         2|       100|        |2016/02/17T06:53:09.642|    0.109|2016/02/17T06:53:09.751| S0|
   172.30.13.17|    224.0.0.252|56311| 5355| 17|         2|       100|        |2016/02/17T06:53:16.549|    0.097|2016/02/17T06:53:16.646| S0|
  172.30.13.123|239.255.255.250|53535| 1900| 17|        12|      1932|        |2016/02/17T06:53:34.502|   76.418|2016/02/17T06:54:50.920| S0|
   172.30.13.17|    224.0.0.252|60962| 5355| 17|         2|       100|        |2016/02/17T06:55:33.743|    0.104|2016/02/17T06:55:33.847| S0|
   172.30.13.17|    224.0.0.252|61774| 5355| 17|         2|       100|        |2016/02/17T06:55:33.743|    0.104|2016/02/17T06:55:33.847| S0|
   172.30.13.17|    224.0.0.252|58662| 5355| 17|         2|       100|        |2016/02/17T06:55:36.337|    0.101|2016/02/17T06:55:36.438| S0|
   172.30.13.17|    224.0.0.252|57219| 5355| 17|         2|       100|        |2016/02/17T06:55:36.349|    0.105|2016/02/17T06:55:36.454| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/17T06:51:03.006|    0.000|2016/02/17T06:51:03.006| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T05:27:22.181|    6.025|2016/02/19T05:27:28.206| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|         6|       966|        |2016/02/19T05:27:20.251|   15.036|2016/02/19T05:27:35.287| S0|
  172.30.13.123|    224.0.0.252|61356| 5355| 17|         2|       104|        |2016/02/19T05:27:36.275|    0.417|2016/02/19T05:27:36.692| S0|
  172.30.13.123|    224.0.0.252|58484| 5355| 17|         2|       100|        |2016/02/19T05:33:11.346|    0.409|2016/02/19T05:33:11.755| S0|
  172.30.13.123|    224.0.0.252|60649| 5355| 17|         2|       100|        |2016/02/19T05:33:11.346|    0.409|2016/02/19T05:33:11.755| S0|
  172.30.13.123|    224.0.0.252|58484| 5355| 17|         2|       100|        |2016/02/19T05:33:11.346|    0.409|2016/02/19T05:33:11.755| S0|
  172.30.13.123|    224.0.0.252|60649| 5355| 17|         2|       100|        |2016/02/19T05:33:11.346|    0.409|2016/02/19T05:33:11.755| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T05:33:15.184|   76.200|2016/02/19T05:34:31.384| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T05:33:15.184|   76.200|2016/02/19T05:34:31.384| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T05:34:46.382|    6.026|2016/02/19T05:34:52.408| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T05:34:46.382|    6.026|2016/02/19T05:34:52.408| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T05:40:25.300|   75.434|2016/02/19T05:41:40.734| S0|
   172.30.13.66|239.255.255.250|65482| 1900| 17|         6|       912|        |2016/02/19T05:41:51.971|    6.017|2016/02/19T05:41:57.988| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T05:40:25.300|   75.434|2016/02/19T05:41:40.734| S0|
   172.30.13.66|239.255.255.250|65482| 1900| 17|         6|       912|        |2016/02/19T05:41:51.971|    6.017|2016/02/19T05:41:57.988| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T05:42:10.582|    6.026|2016/02/19T05:42:16.608| S0|
  172.30.13.123|    224.0.0.252|51150| 5355| 17|         2|       100|        |2016/02/19T05:43:11.607|    0.419|2016/02/19T05:43:12.026| S0|
  172.30.13.123|    224.0.0.252|61839| 5355| 17|         2|       100|        |2016/02/19T05:43:11.606|    0.420|2016/02/19T05:43:12.026| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T05:42:10.582|    6.026|2016/02/19T05:42:16.608| S0|
  172.30.13.123|    224.0.0.252|51150| 5355| 17|         2|       100|        |2016/02/19T05:43:11.607|    0.419|2016/02/19T05:43:12.026| S0|
  172.30.13.123|    224.0.0.252|61839| 5355| 17|         2|       100|        |2016/02/19T05:43:11.606|    0.420|2016/02/19T05:43:12.026| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T05:47:22.033|   75.730|2016/02/19T05:48:37.763| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T05:49:34.783|    6.025|2016/02/19T05:49:40.808| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T05:47:22.033|   75.730|2016/02/19T05:48:37.763| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T05:49:34.783|    6.025|2016/02/19T05:49:40.808| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T05:54:48.064|   73.943|2016/02/19T05:56:02.007| S0|
  172.30.13.123|     224.0.0.22|    0|    0|  2|         7|       280|        |2016/02/19T05:31:37.755| 1565.545|2016/02/19T05:57:43.300| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T05:56:58.872|    6.022|2016/02/19T05:57:04.894| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T05:54:48.064|   73.943|2016/02/19T05:56:02.007| S0|
  172.30.13.123|     224.0.0.22|    0|    0|  2|         7|       280|        |2016/02/19T05:31:37.755| 1565.545|2016/02/19T05:57:43.300| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T05:56:58.872|    6.022|2016/02/19T05:57:04.894| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T05:27:58.265|    0.000|2016/02/19T05:27:58.265| S0|
   172.30.13.66|  172.30.13.255|  137|  137| 17|         3|       234|        |2016/02/19T05:27:33.989|    1.519|2016/02/19T05:27:35.508| S0|
  172.30.13.123|  172.30.13.255|  137|  137| 17|         3|       234|        |2016/02/19T05:27:36.274|    1.521|2016/02/19T05:27:37.795| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T05:27:58.265|    0.000|2016/02/19T05:27:58.265| S0|
  172.30.13.123|  172.30.13.255|  137|  137| 17|         3|       234|        |2016/02/19T05:33:11.345|    1.512|2016/02/19T05:33:12.857| S0|
  172.30.13.123|  172.30.13.255|  137|  137| 17|         3|       234|        |2016/02/19T05:33:11.345|    1.512|2016/02/19T05:33:12.857| S0|
   172.30.13.66|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T05:37:25.034|    0.000|2016/02/19T05:37:25.034| S0|
   172.30.13.66|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T05:37:25.034|    0.000|2016/02/19T05:37:25.034| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T05:39:59.640|    0.000|2016/02/19T05:39:59.640| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T05:39:59.640|    0.000|2016/02/19T05:39:59.640| S0|
  172.30.13.123|  172.30.13.255|  137|  137| 17|         3|       234|        |2016/02/19T05:43:11.606|    1.497|2016/02/19T05:43:13.103| S0|
  172.30.13.123|  172.30.13.255|  137|  137| 17|         3|       234|        |2016/02/19T05:43:11.606|    1.497|2016/02/19T05:43:13.103| S0|
   172.30.13.66|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T05:49:23.124|    0.000|2016/02/19T05:49:23.124| S0|
   172.30.13.66|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T05:49:23.124|    0.000|2016/02/19T05:49:23.124| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T05:52:01.366|    0.000|2016/02/19T05:52:01.366| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T05:52:01.366|    0.000|2016/02/19T05:52:01.366| S0|
  172.30.13.123|  172.30.13.239|53501|  135|  6|         2|       104| S      |2016/02/19T05:54:23.192|    3.002|2016/02/19T05:54:26.194| S0|
  172.30.13.123|  172.30.13.255|  137|  137| 17|         7|       546|        |2016/02/19T05:52:58.839|  131.170|2016/02/19T05:55:10.009| S0|
  172.30.13.123|  172.30.13.239|53501|  135|  6|         2|       104| S      |2016/02/19T05:54:23.192|    3.002|2016/02/19T05:54:26.194| S0|
  172.30.13.123|  172.30.13.255|  137|  137| 17|         7|       546|        |2016/02/19T05:52:58.839|  131.170|2016/02/19T05:55:10.009| S0|
   172.30.13.66|239.255.255.250|65482| 1900| 17|         6|       912|        |2016/02/19T06:01:54.298|    6.014|2016/02/19T06:02:00.312| S0|
   172.30.13.66|    224.0.0.252|61183| 5355| 17|         2|       100|        |2016/02/19T06:02:13.318|    0.100|2016/02/19T06:02:13.418| S0|
   172.30.13.66|    224.0.0.252|51478| 5355| 17|         2|       114|        |2016/02/19T06:02:20.756|    0.100|2016/02/19T06:02:20.856| S0|
   172.30.13.66|239.255.255.250|65482| 1900| 17|         6|       912|        |2016/02/19T06:01:54.298|    6.014|2016/02/19T06:02:00.312| S0|
   172.30.13.66|    224.0.0.252|61183| 5355| 17|         2|       100|        |2016/02/19T06:02:13.318|    0.100|2016/02/19T06:02:13.418| S0|
   172.30.13.66|    224.0.0.252|51478| 5355| 17|         2|       114|        |2016/02/19T06:02:20.756|    0.100|2016/02/19T06:02:20.856| S0|
   172.30.13.66|    224.0.0.252|53910| 5355| 17|         2|       118|        |2016/02/19T06:02:23.356|    0.107|2016/02/19T06:02:23.463| S0|
   172.30.13.66|    224.0.0.252|50119| 5355| 17|         2|       116|        |2016/02/19T06:02:25.599|    0.101|2016/02/19T06:02:25.700| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:02:08.467|   74.951|2016/02/19T06:03:23.418| S0|
   172.30.13.66|    224.0.0.252|53910| 5355| 17|         2|       118|        |2016/02/19T06:02:23.356|    0.107|2016/02/19T06:02:23.463| S0|
   172.30.13.66|    224.0.0.252|50119| 5355| 17|         2|       116|        |2016/02/19T06:02:25.599|    0.101|2016/02/19T06:02:25.700| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:02:08.467|   74.951|2016/02/19T06:03:23.418| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:04:22.859|    6.007|2016/02/19T06:04:28.866| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:04:22.859|    6.007|2016/02/19T06:04:28.866| S0|
  172.30.13.123|    224.0.0.252|64770| 5355| 17|         2|       100|        |2016/02/19T06:09:55.248|    0.415|2016/02/19T06:09:55.663| S0|
  172.30.13.123|    224.0.0.252|55893| 5355| 17|         2|       100|        |2016/02/19T06:09:55.247|    0.417|2016/02/19T06:09:55.664| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:08:46.511|   76.043|2016/02/19T06:10:02.554| S0|
  172.30.13.123|    224.0.0.252|50176| 5355| 17|         2|       100|        |2016/02/19T06:10:10.257|    0.420|2016/02/19T06:10:10.677| S0|
  172.30.13.123|    224.0.0.252|63243| 5355| 17|         2|       100|        |2016/02/19T06:10:10.258|    0.420|2016/02/19T06:10:10.678| S0|
  172.30.13.123|    224.0.0.252|64770| 5355| 17|         2|       100|        |2016/02/19T06:09:55.248|    0.415|2016/02/19T06:09:55.663| S0|
  172.30.13.123|    224.0.0.252|55893| 5355| 17|         2|       100|        |2016/02/19T06:09:55.247|    0.417|2016/02/19T06:09:55.664| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:08:46.511|   76.043|2016/02/19T06:10:02.554| S0|
  172.30.13.123|    224.0.0.252|50176| 5355| 17|         2|       100|        |2016/02/19T06:10:10.257|    0.420|2016/02/19T06:10:10.677| S0|
  172.30.13.123|    224.0.0.252|63243| 5355| 17|         2|       100|        |2016/02/19T06:10:10.258|    0.420|2016/02/19T06:10:10.678| S0|
  172.30.13.123|    224.0.0.252|63060| 5355| 17|         2|       100|        |2016/02/19T06:11:10.255|    0.419|2016/02/19T06:11:10.674| S0|
  172.30.13.123|    224.0.0.252|52069| 5355| 17|         2|       100|        |2016/02/19T06:11:10.255|    0.419|2016/02/19T06:11:10.674| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:11:46.861|    6.023|2016/02/19T06:11:52.884| S0|
  172.30.13.123|    224.0.0.252|63060| 5355| 17|         2|       100|        |2016/02/19T06:11:10.255|    0.419|2016/02/19T06:11:10.674| S0|
  172.30.13.123|    224.0.0.252|52069| 5355| 17|         2|       100|        |2016/02/19T06:11:10.255|    0.419|2016/02/19T06:11:10.674| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:11:46.861|    6.023|2016/02/19T06:11:52.884| S0|
   172.30.13.66|    224.0.0.251| 5353| 5353| 17|         1|       129|        |2016/02/19T06:16:11.510|    0.000|2016/02/19T06:16:11.510| S0|
   172.30.13.66|    224.0.0.251| 5353| 5353| 17|         1|       129|        |2016/02/19T06:16:11.510|    0.000|2016/02/19T06:16:11.510| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:16:12.040|   77.684|2016/02/19T06:17:29.724| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:16:12.040|   77.684|2016/02/19T06:17:29.724| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:19:10.838|    6.060|2016/02/19T06:19:16.898| S0|
  172.30.13.123|    224.0.0.252|61713| 5355| 17|         2|       100|        |2016/02/19T06:21:10.225|    0.420|2016/02/19T06:21:10.645| S0|
  172.30.13.123|    224.0.0.252|62259| 5355| 17|         2|       100|        |2016/02/19T06:21:10.225|    0.420|2016/02/19T06:21:10.645| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:19:10.838|    6.060|2016/02/19T06:19:16.898| S0|
  172.30.13.123|    224.0.0.252|61713| 5355| 17|         2|       100|        |2016/02/19T06:21:10.225|    0.420|2016/02/19T06:21:10.645| S0|
  172.30.13.123|    224.0.0.252|62259| 5355| 17|         2|       100|        |2016/02/19T06:21:10.225|    0.420|2016/02/19T06:21:10.645| S0|
   172.30.13.66|239.255.255.250|65482| 1900| 17|         6|       912|        |2016/02/19T06:21:57.391|    6.008|2016/02/19T06:22:03.399| S0|
   172.30.13.66|239.255.255.250|65482| 1900| 17|         6|       912|        |2016/02/19T06:21:57.391|    6.008|2016/02/19T06:22:03.399| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:23:22.525|   76.026|2016/02/19T06:24:38.551| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:23:22.525|   76.026|2016/02/19T06:24:38.551| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:26:34.874|    6.006|2016/02/19T06:26:40.880| S0|
  172.30.13.123|     224.0.0.22|    0|    0|  2|         7|       280|        |2016/02/19T06:02:05.285| 1563.962|2016/02/19T06:28:09.247| S0|
  172.30.13.123|    224.0.0.252|52783| 5355| 17|         2|       104|        |2016/02/19T06:27:36.849|    0.420|2016/02/19T06:27:37.269| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:26:34.874|    6.006|2016/02/19T06:26:40.880| S0|
  172.30.13.123|     224.0.0.22|    0|    0|  2|         7|       280|        |2016/02/19T06:02:05.285| 1563.962|2016/02/19T06:28:09.247| S0|
  172.30.13.123|    224.0.0.252|52783| 5355| 17|         2|       104|        |2016/02/19T06:27:36.849|    0.420|2016/02/19T06:27:37.269| S0|
  172.30.13.123|    224.0.0.252|65317| 5355| 17|         2|       100|        |2016/02/19T06:31:10.290|    0.419|2016/02/19T06:31:10.709| S0|
  172.30.13.123|    224.0.0.252|61780| 5355| 17|         2|       100|        |2016/02/19T06:31:10.290|    0.419|2016/02/19T06:31:10.709| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:30:16.310|   77.517|2016/02/19T06:31:33.827| S0|
  172.30.13.123|    224.0.0.252|65317| 5355| 17|         2|       100|        |2016/02/19T06:31:10.290|    0.419|2016/02/19T06:31:10.709| S0|
  172.30.13.123|    224.0.0.252|61780| 5355| 17|         2|       100|        |2016/02/19T06:31:10.290|    0.419|2016/02/19T06:31:10.709| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:30:16.310|   77.517|2016/02/19T06:31:33.827| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:33:58.908|    6.003|2016/02/19T06:34:04.911| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:33:58.908|    6.003|2016/02/19T06:34:04.911| S0|
  172.30.13.123|239.255.255.250|58296| 3702| 17|         2|      1368|        |2016/02/19T06:34:39.572|    0.109|2016/02/19T06:34:39.681| S0|
   172.30.13.66|239.255.255.250|49351| 3702| 17|         2|      1368|        |2016/02/19T06:34:39.587|    0.159|2016/02/19T06:34:39.746| S0|
  172.30.13.123|239.255.255.250|58296| 3702| 17|         2|      1368|        |2016/02/19T06:34:39.572|    0.109|2016/02/19T06:34:39.681| S0|
   172.30.13.66|239.255.255.250|49351| 3702| 17|         2|      1368|        |2016/02/19T06:34:39.587|    0.159|2016/02/19T06:34:39.746| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:37:17.082|   76.115|2016/02/19T06:38:33.197| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:37:17.082|   76.115|2016/02/19T06:38:33.197| S0|
  172.30.13.123|239.255.255.250|58296| 3702| 17|         6|      4104|        |2016/02/19T06:39:39.742|   52.491|2016/02/19T06:40:32.233| S0|
   172.30.13.66|239.255.255.250|49351| 3702| 17|         6|      4104|        |2016/02/19T06:39:39.749|   52.503|2016/02/19T06:40:32.252| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:41:22.865|    6.022|2016/02/19T06:41:28.887| S0|
   172.30.13.66|239.255.255.250|65482| 1900| 17|         6|       912|        |2016/02/19T06:41:57.999|    6.008|2016/02/19T06:42:04.007| S0|
  172.30.13.123|239.255.255.250|58296| 3702| 17|         6|      4104|        |2016/02/19T06:39:39.742|   52.491|2016/02/19T06:40:32.233| S0|
   172.30.13.66|239.255.255.250|49351| 3702| 17|         6|      4104|        |2016/02/19T06:39:39.749|   52.503|2016/02/19T06:40:32.252| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:41:22.865|    6.022|2016/02/19T06:41:28.887| S0|
   172.30.13.66|239.255.255.250|65482| 1900| 17|         6|       912|        |2016/02/19T06:41:57.999|    6.008|2016/02/19T06:42:04.007| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:44:26.197|   76.013|2016/02/19T06:45:42.210| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:44:26.197|   76.013|2016/02/19T06:45:42.210| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:48:46.842|    6.009|2016/02/19T06:48:52.851| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:48:46.842|    6.009|2016/02/19T06:48:52.851| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:51:26.955|   75.937|2016/02/19T06:52:42.892| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:51:26.955|   75.937|2016/02/19T06:52:42.892| S0|
   172.30.13.66|239.255.255.250|49351| 3702| 17|         2|      1368|        |2016/02/19T06:55:38.435|    0.164|2016/02/19T06:55:38.599| S0|
  172.30.13.123|239.255.255.250|58296| 3702| 17|         2|      1368|        |2016/02/19T06:55:38.422|    0.238|2016/02/19T06:55:38.660| S0|
   172.30.13.66|239.255.255.250|49351| 3702| 17|         2|      1368|        |2016/02/19T06:55:38.435|    0.164|2016/02/19T06:55:38.599| S0|
  172.30.13.123|239.255.255.250|58296| 3702| 17|         2|      1368|        |2016/02/19T06:55:38.422|    0.238|2016/02/19T06:55:38.660| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:56:10.808|    6.034|2016/02/19T06:56:16.842| S0|
   172.30.13.66|239.255.255.250| 1900| 1900| 17|        18|      9129|        |2016/02/19T06:56:10.808|    6.034|2016/02/19T06:56:16.842| S0|
  172.30.13.123|     224.0.0.22|    0|    0|  2|         7|       280|        |2016/02/19T06:32:31.768| 1564.388|2016/02/19T06:58:36.156| S0|
  172.30.13.123|     224.0.0.22|    0|    0|  2|         7|       280|        |2016/02/19T06:32:31.768| 1564.388|2016/02/19T06:58:36.156| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:58:07.168|   74.905|2016/02/19T06:59:22.073| S0|
  172.30.13.123|239.255.255.250|53312| 1900| 17|        12|      1932|        |2016/02/19T06:58:07.168|   74.905|2016/02/19T06:59:22.073| S0|
   172.30.13.66|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T06:01:25.793|    0.000|2016/02/19T06:01:25.793| S0|
   172.30.13.66|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T06:01:25.793|    0.000|2016/02/19T06:01:25.793| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T06:04:00.394|    0.000|2016/02/19T06:04:00.394| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T06:04:00.394|    0.000|2016/02/19T06:04:00.394| S0|
   172.30.13.66|  172.30.13.255|  137|  137| 17|        54|      4212|        |2016/02/19T06:02:13.618|  315.373|2016/02/19T06:07:28.991| S0|
   172.30.13.66|  172.30.13.255|  137|  137| 17|        54|      4212|        |2016/02/19T06:02:13.618|  315.373|2016/02/19T06:07:28.991| S0|
  172.30.13.123|  172.30.13.255|  137|  137| 17|         9|       702|        |2016/02/19T06:09:55.246|   76.514|2016/02/19T06:11:11.760| S0|
  172.30.13.123|  172.30.13.255|  137|  137| 17|         9|       702|        |2016/02/19T06:09:55.246|   76.514|2016/02/19T06:11:11.760| S0|
   172.30.13.66|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T06:13:27.804|    0.000|2016/02/19T06:13:27.804| S0|
   172.30.13.66|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T06:13:27.804|    0.000|2016/02/19T06:13:27.804| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T06:15:58.270|    0.000|2016/02/19T06:15:58.270| S0|
  172.30.13.123|  172.30.13.255|  138|  138| 17|         1|       229|        |2016/02/19T06:15:58.270|    0.000|2016/02/19T06:15:58.270| S0|
